# CAMIRA HSC S18A Wide cluster catalog with star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000000+021911   0.002006   2.319798 0.4310  18.729 0.42817
    2 HSCJ000027+005953   0.112662   0.997933 1.0120  15.445 -1.0
    3 HSCJ000048+010930   0.197929   1.158281 0.8236  15.877 -1.0
    4 HSCJ000051+004705   0.210533   0.784774 0.2560  20.569 0.26345
    5 HSCJ000104-003525   0.268435  -0.590310 0.5610  18.070 0.57378
    6 HSCJ000122+010149   0.339744   1.030290 0.5639  24.001 0.55205
    7 HSCJ000130+005532   0.373220   0.925468 0.5640  31.336 0.55348
    8 HSCJ000142+015728   0.423285   1.957835 1.0634  15.344 -1.0
    9 HSCJ000152-004421   0.468063  -0.739188 1.0016  33.977 -1.0
   10 HSCJ000157+004221   0.487723   0.705808 0.4178  21.788 0.38866
   11 HSCJ000157+021854   0.489407   2.314887 0.7400  23.778 -1.0
   12 HSCJ000201+022455   0.503214   2.415292 0.9760  16.060 -1.0
   13 HSCJ000208+020935   0.532822   2.159642 0.8716  25.629 -1.0
   14 HSCJ000220+013125   0.581272   1.523531 0.8175  31.953 -1.0
   15 HSCJ000227+014500   0.613561   1.749896 0.1977  25.184 0.19025
   16 HSCJ000233+011158   0.636173   1.199458 1.2559  20.353 -1.0
   17 HSCJ000236+012931   0.649388   1.492007 0.7680  23.517 -1.0
   18 HSCJ000238+012227   0.657674   1.374226 1.0567  24.476 -1.0
   19 HSCJ000243-001928   0.679731  -0.324572 0.6460  16.697 -1.0
   20 HSCJ000244-003317   0.681950  -0.554836 0.5378  19.610 0.51823
   21 HSCJ000246-004751   0.690199  -0.797619 0.6946  15.893 0.66276
   22 HSCJ000248+012328   0.701173   1.391106 0.8231  19.743 0.84073
   23 HSCJ000255+015042   0.729048   1.844990 0.3361  17.134 0.34417
   24 HSCJ000300+005341   0.751022   0.894704 0.8796  17.217 -1.0
   25 HSCJ000304+004249   0.764596   0.713526 0.7120  21.833 -1.0
   26 HSCJ000304+005922   0.765002   0.989572 0.9558  18.823 -1.0
   27 HSCJ000311+020653   0.796932   2.114613 0.8647  17.104 0.87333
   28 HSCJ000314+005621   0.807950   0.939167 0.8180  17.742 -1.0
   29 HSCJ000319+013457   0.829083   1.582452 0.5055  17.223 0.50946
   30 HSCJ000322+010328   0.843696   1.057898 0.1020  23.769 0.07948
   31 HSCJ000327+021319   0.862596   2.221953 0.9308  25.808 -1.0
   32 HSCJ000345+021307   0.939190   2.218703 0.4373  15.155 -1.0
   33 HSCJ000351+004343   0.963287   0.728652 0.7010  17.554 -1.0
   34 HSCJ000352+020359   0.967734   2.066294 0.1096  31.538 -1.0
   35 HSCJ000416+001059   1.067449   0.183056 0.6540  15.408 0.63318
   36 HSCJ000422+004957   1.092146   0.832449 0.9165  26.260 -1.0
   37 HSCJ000426-003854   1.107668  -0.648399 1.0132  24.622 -1.0
   38 HSCJ000426+011508   1.108160   1.252115 0.9340  32.007 -1.0
   39 HSCJ000428+012330   1.116266   1.391635 0.9481  23.705 -1.0
   40 HSCJ000439+020922   1.164549   2.156104 0.7534  20.379 0.74605
   41 HSCJ000449+002235   1.204929   0.376325 0.6563  18.944 -1.0
   42 HSCJ000455+001009   1.229532   0.169133 0.6980  17.889 -1.0
