# CAMIRA HSC S19A Wide cluster catalog without star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000000+021911   0.002008   2.319796 0.4285  18.383 0.42819
    2 HSCJ000004+004219   0.016384   0.705171 0.2500  16.726 -1.0
    3 HSCJ000022+010557   0.092218   1.099093 0.7400  15.831 -1.0
    4 HSCJ000027+005457   0.111472   0.915945 0.6469  15.713 -1.0
    5 HSCJ000027+005953   0.112666   0.997930 1.0159  15.112 -1.0
    6 HSCJ000048+010930   0.197932   1.158278 0.8183  23.037 -1.0
    7 HSCJ000049-005055   0.203412  -0.848601 0.4292  16.060 -1.0
    8 HSCJ000049+022405   0.204311   2.401401 0.4067  15.898 -1.0
    9 HSCJ000049+022545   0.204969   2.429034 1.1580  16.042 -1.0
   10 HSCJ000051+004705   0.210537   0.784772 0.2600  29.299 0.26345
   11 HSCJ000059+002144   0.247220   0.362202 1.0357  21.893 -1.0
   12 HSCJ000104-003525   0.268440  -0.590312 0.5686  21.077 0.57378
   13 HSCJ000111+012558   0.294545   1.432786 0.7200  15.616 0.72249
   14 HSCJ000114+014342   0.309190   1.728412 0.7386  15.819 -1.0
   15 HSCJ000122+010149   0.339748   1.030287 0.5628  22.508 0.55205
   16 HSCJ000122-001137   0.341363  -0.193741 0.4627  15.555 0.46408
   17 HSCJ000126-000143   0.359690  -0.028558 0.2395  41.545 0.24793
   18 HSCJ000130+005532   0.373222   0.925465 0.5572  33.371 0.55328
   19 HSCJ000152-004421   0.468063  -0.739190 0.9978  34.166 -1.0
   20 HSCJ000157+021850   0.485584   2.313753 0.7422  27.351 -1.0
   21 HSCJ000157+004221   0.487720   0.705805 0.4137  28.727 0.38866
   22 HSCJ000158+005035   0.490619   0.843073 0.7381  21.051 -1.0
   23 HSCJ000204+010559   0.517273   1.099707 1.1574  18.109 -1.0
   24 HSCJ000208+020935   0.532822   2.159639 0.8769  25.394 -1.0
   25 HSCJ000217+013157   0.570211   1.532472 0.8142  35.248 0.83806
   26 HSCJ000227+014500   0.613561   1.749895 0.1980  22.662 0.19028
   27 HSCJ000233+011158   0.636173   1.199455 1.2361  18.845 -1.0
   28 HSCJ000236+012931   0.649389   1.492006 0.7735  26.593 -1.0
   29 HSCJ000239+012233   0.660842   1.375920 1.0590  25.049 -1.0
   30 HSCJ000243-001928   0.679729  -0.324575 0.6460  16.744 -1.0
   31 HSCJ000244-003317   0.681951  -0.554835 0.5345  22.975 0.51816
   32 HSCJ000246-004751   0.690200  -0.797623 0.6942  20.077 0.66273
   33 HSCJ000246+022543   0.692109   2.428545 0.8440  16.150 -1.0
   34 HSCJ000246+000915   0.692694   0.154051 0.6800  17.476 -1.0
   35 HSCJ000248+012328   0.701174   1.391106 0.8091  20.130 0.84073
   36 HSCJ000255+015042   0.729049   1.844990 0.3360  21.733 0.34414
   37 HSCJ000300+005341   0.751025   0.894703 0.8749  17.085 -1.0
   38 HSCJ000300+010005   0.751265   1.001351 0.9344  18.062 -1.0
   39 HSCJ000304+004249   0.764601   0.713525 0.7060  27.466 -1.0
   40 HSCJ000307+020915   0.779867   2.154058 0.4147  29.672 -1.0
   41 HSCJ000311+005629   0.794790   0.941332 0.8133  17.330 -1.0
   42 HSCJ000311+020653   0.796933   2.114612 0.8519  17.367 0.87333
   43 HSCJ000313+005425   0.804640   0.907033 1.1550  16.526 -1.0
   44 HSCJ000322+010328   0.843699   1.057894 0.1040  20.431 0.07948
   45 HSCJ000327+021319   0.862597   2.221954 0.9220  28.548 -1.0
   46 HSCJ000349+004310   0.954769   0.719312 0.6900  19.571 -1.0
   47 HSCJ000350+020359   0.956952   2.066506 0.1148  33.269 -1.0
   48 HSCJ000400-001227   1.000271  -0.207373 0.6965  18.347 -1.0
   49 HSCJ000404-003952   1.016415  -0.664361 0.3230  15.893 -1.0
   50 HSCJ000411+004508   1.046943   0.752259 0.3260  16.523 0.32957
   51 HSCJ000412+012418   1.048405   1.405021 0.8610  15.390 -1.0
   52 HSCJ000416+001059   1.067451   0.183053 0.6580  17.547 0.63325
   53 HSCJ000422-003939   1.090276  -0.660816 1.0263  22.093 -1.0
   54 HSCJ000422+010419   1.093535   1.071927 0.5272  16.194 0.52536
   55 HSCJ000426+011508   1.108164   1.252106 0.9339  28.498 -1.0
   56 HSCJ000428+012331   1.115693   1.391941 0.9261  20.825 -1.0
   57 HSCJ000439+020922   1.164550   2.156101 0.7571  19.833 0.74595
   58 HSCJ000446+002251   1.193050   0.380756 0.6560  33.426 0.66625
   59 HSCJ000455+003415   1.229510   0.570764 0.3252  18.990 0.31966
   60 HSCJ000456+000926   1.233564   0.157303 0.6560  19.649 0.66512
   61 HSCJ000459+005744   1.244150   0.962098 0.1145  28.017 0.09531
   62 HSCJ000500+021143   1.249243   2.195339 0.8272  25.344 -1.0
   63 HSCJ000506+011006   1.274377   1.168343 1.1547  24.309 -1.0
   64 HSCJ000512+020629   1.300291   2.108042 1.0579  15.732 -1.0
   65 HSCJ000513+001102   1.306212   0.183950 0.7400  17.051 -1.0
   66 HSCJ000515+021756   1.311314   2.298769 0.7480  19.206 -1.0
   67 HSCJ000522+003101   1.342183   0.516897 0.5581  36.469 -1.0
   68 HSCJ000523+012352   1.346965   1.397690 0.6720  15.396 -1.0
   69 HSCJ000526+012837   1.356463   1.476998 0.8488  19.498 -1.0
   70 HSCJ000526+010423   1.357004   1.073157 0.8771  26.591 -1.0
   71 HSCJ000527+010235   1.360930   1.043040 0.7805  32.859 -1.0
   72 HSCJ000535-000518   1.394998  -0.088370 0.6300  21.614 0.61686
   73 HSCJ000538+001404   1.408088   0.234566 0.3200  17.440 0.31854
   74 HSCJ000538+014741   1.408429   1.794713 0.3360  19.870 -1.0
   75 HSCJ000541+011900   1.422904   1.316587 0.3727  20.666 0.39487
