# CAMIRA HSC S19A Wide cluster catalog with star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000000+021911   0.002008   2.319796 0.4284  18.655 0.42819
    2 HSCJ000027+005953   0.112666   0.997930 1.0160  17.004 -1.0
    3 HSCJ000048+010930   0.197932   1.158278 0.8183  23.093 -1.0
    4 HSCJ000049-005055   0.203412  -0.848601 0.4292  15.987 -1.0
    5 HSCJ000051+004705   0.210537   0.784772 0.2560  22.551 0.26345
    6 HSCJ000059+002144   0.247220   0.362202 1.0379  22.023 -1.0
    7 HSCJ000104-003525   0.268440  -0.590312 0.5687  20.474 0.57378
    8 HSCJ000122+010149   0.339748   1.030287 0.5628  22.841 0.55205
    9 HSCJ000122-001137   0.341363  -0.193741 0.4623  15.285 0.46408
   10 HSCJ000130+005532   0.373222   0.925465 0.5578  32.676 0.55328
   11 HSCJ000136+002824   0.401962   0.473335 1.0419  15.593 -1.0
   12 HSCJ000143+001611   0.430209   0.269859 0.6820  15.152 0.66403
   13 HSCJ000152-004421   0.468063  -0.739190 0.9977  36.606 -1.0
   14 HSCJ000157+004221   0.487720   0.705805 0.4136  27.632 0.38866
   15 HSCJ000157+021854   0.489407   2.314888 0.7379  26.827 -1.0
   16 HSCJ000202+002049   0.507616   0.347022 0.3200  15.035 0.30069
   17 HSCJ000204+010559   0.517273   1.099707 1.1576  19.012 -1.0
   18 HSCJ000208+020935   0.532822   2.159639 0.8769  25.700 -1.0
   19 HSCJ000217+013157   0.570211   1.532472 0.8100  34.607 0.83806
   20 HSCJ000227+014500   0.613561   1.749895 0.1980  24.193 0.19028
   21 HSCJ000230+011302   0.624884   1.217088 1.2399  18.538 -1.0
   22 HSCJ000236+012931   0.649389   1.492006 0.7733  24.847 -1.0
   23 HSCJ000237+015721   0.655544   1.955917 0.8560  16.716 -1.0
   24 HSCJ000239+012233   0.660842   1.375920 1.0591  25.107 -1.0
   25 HSCJ000243-001928   0.679729  -0.324575 0.6460  18.551 -1.0
   26 HSCJ000244-003317   0.681951  -0.554835 0.5345  21.584 0.51816
   27 HSCJ000246-004751   0.690200  -0.797623 0.6907  22.398 0.66273
   28 HSCJ000248+012328   0.701174   1.391106 0.8091  20.151 0.84073
   29 HSCJ000255+015042   0.729049   1.844990 0.3407  16.035 0.34414
   30 HSCJ000300+022703   0.748106   2.450716 0.7741  15.319 -1.0
   31 HSCJ000300+005341   0.751025   0.894703 0.8754  17.361 -1.0
   32 HSCJ000300+010005   0.751265   1.001351 0.9331  18.161 -1.0
   33 HSCJ000304+004249   0.764601   0.713525 0.7060  27.267 -1.0
   34 HSCJ000311+005629   0.794790   0.941332 0.8133  17.722 -1.0
   35 HSCJ000311+020933   0.796205   2.159265 0.4162  26.339 0.40580
   36 HSCJ000311+020653   0.796933   2.114612 0.8526  18.323 0.87333
   37 HSCJ000313+005425   0.804640   0.907033 1.1550  16.320 -1.0
   38 HSCJ000319+013457   0.829086   1.582451 0.5041  17.084 0.50942
   39 HSCJ000322+010328   0.843699   1.057894 0.1040  21.093 0.07948
   40 HSCJ000327+021319   0.862597   2.221954 0.9218  23.764 -1.0
   41 HSCJ000328-000226   0.866548  -0.040434 0.6560  16.007 -1.0
   42 HSCJ000349+004310   0.954769   0.719312 0.6900  19.152 -1.0
   43 HSCJ000350+020359   0.956952   2.066506 0.1142  31.927 -1.0
   44 HSCJ000400-001227   1.000271  -0.207373 0.7040  17.819 -1.0
   45 HSCJ000404-003952   1.016415  -0.664361 0.3230  15.913 -1.0
   46 HSCJ000411+004508   1.046943   0.752259 0.3259  18.851 0.32957
   47 HSCJ000416+001059   1.067451   0.183053 0.6540  19.415 0.63325
   48 HSCJ000422-003939   1.090276  -0.660816 1.0265  23.200 -1.0
   49 HSCJ000422+004957   1.092147   0.832451 0.9228  31.369 -1.0
   50 HSCJ000422+010419   1.093535   1.071927 0.5274  15.726 0.52536
   51 HSCJ000426+011508   1.108164   1.252106 0.9339  29.008 -1.0
   52 HSCJ000428+012331   1.115693   1.391941 0.9300  22.117 -1.0
   53 HSCJ000439+020922   1.164550   2.156101 0.7600  20.232 0.74595
   54 HSCJ000449+002235   1.204931   0.376323 0.6468  23.052 -1.0
   55 HSCJ000456+000926   1.233564   0.157303 0.6651  19.521 0.66512
   56 HSCJ000459+005744   1.244150   0.962098 0.1135  26.587 0.09531
   57 HSCJ000500+021143   1.249243   2.195339 0.8270  25.975 -1.0
   58 HSCJ000504+003416   1.268578   0.571110 0.3220  19.355 0.31955
   59 HSCJ000506+011006   1.274377   1.168343 1.1547  24.946 -1.0
   60 HSCJ000513+001102   1.306212   0.183950 0.7400  17.308 -1.0
   61 HSCJ000515+021756   1.311314   2.298769 0.7432  16.027 -1.0
   62 HSCJ000522+003101   1.342183   0.516897 0.5581  37.849 -1.0
   63 HSCJ000523+012352   1.346965   1.397690 0.6541  17.570 -1.0
   64 HSCJ000526+012837   1.356463   1.476998 0.8490  19.582 -1.0
   65 HSCJ000526+010423   1.357004   1.073157 0.8764  27.299 -1.0
   66 HSCJ000527+002407   1.363785   0.401948 1.0520  15.211 -1.0
   67 HSCJ000529+010250   1.368834   1.047164 0.7800  27.521 -1.0
   68 HSCJ000535-000518   1.394998  -0.088370 0.6300  20.921 0.61686
   69 HSCJ000538+014741   1.408429   1.794713 0.3360  19.390 -1.0
   70 HSCJ000541+011900   1.422904   1.316587 0.3714  18.331 0.39487
   71 HSCJ000544+001306   1.433776   0.218435 0.3200  15.987 0.31965
   72 HSCJ000547+022256   1.444590   2.382173 0.8167  24.325 0.83971
   73 HSCJ000552+020818   1.464903   2.138230 1.1900  15.515 -1.0
   74 HSCJ000554+015531   1.475325   1.925407 0.8147  16.724 -1.0
   75 HSCJ000608+014956   1.534476   1.832136 0.4273  17.617 0.42572
   76 HSCJ000634+001806   1.641751   0.301708 0.6980  30.785 -1.0
   77 HSCJ000635+014219   1.647916   1.705211 0.7680  17.683 -1.0
   78 HSCJ000639+015831   1.662226   1.975377 0.2680  17.754 0.27706
   79 HSCJ000653+023043   1.719703   2.512071 0.9160  18.759 -1.0
   80 HSCJ000654-004120   1.725384  -0.688763 0.5552  59.479 0.53068
   81 HSCJ000702+001625   1.759405   0.273554 0.7140  15.006 0.66861
   82 HSCJ000716+003552   1.817275   0.597838 0.1149  19.632 0.09296
   83 HSCJ000719+004841   1.829403   0.811297 0.7754  23.171 -1.0
   84 HSCJ000719+021452   1.829542   2.247712 0.2740  29.956 -1.0
   85 HSCJ000723+010741   1.844268   1.127919 1.0599  16.404 -1.0
   86 HSCJ000735+015529   1.895377   1.924825 0.3520  15.130 0.32701
   87 HSCJ000736-000459   1.898307  -0.083135 0.7240  24.662 -1.0
   88 HSCJ000810+020112   2.043308   2.020100 0.3540  70.370 0.36505
   89 HSCJ000814+001121   2.058780   0.189163 0.5050  17.360 0.50639
   90 HSCJ000818-003921   2.074497  -0.655767 0.5630  36.504 0.55566
   91 HSCJ000826+002111   2.108982   0.352984 0.6860  23.354 0.68073
   92 HSCJ000847+005517   2.195480   0.921324 0.8659  17.021 -1.0
   93 HSCJ000852+020142   2.215995   2.028381 1.1095  15.512 -1.0
   94 HSCJ000852+001710   2.216933   0.286128 0.5820  24.688 -1.0
   95 HSCJ000852+005842   2.218747   0.978370 1.1980  15.832 -1.0
   96 HSCJ000913+000830   2.305588   0.141726 0.4180  17.778 -1.0
   97 HSCJ000914+002545   2.309018   0.429037 0.6194  15.287 0.61354
   98 HSCJ000914+014727   2.309518   1.790877 0.7842  24.400 -1.0
   99 HSCJ000918+020706   2.325303   2.118310 0.8038  24.771 -1.0
  100 HSCJ000924+001007   2.350802   0.168579 0.5640  17.769 -1.0
  101 HSCJ000939+004827   2.411592   0.807399 0.6440  15.868 0.62873
  102 HSCJ000941+002530   2.419327   0.425028 0.1909  15.867 0.18784
  103 HSCJ001001+010921   2.503753   1.155863 0.5080  16.619 0.50499
  104 HSCJ001003+011934   2.512117   1.326207 0.4191  21.438 0.41499
  105 HSCJ001035+005634   2.644389   0.942868 0.8975  17.600 -1.0
  106 HSCJ001036-000832   2.648726  -0.142225 0.8440  16.562 -1.0
  107 HSCJ001038+005937   2.657637   0.993554 0.7174  15.326 -1.0
  108 HSCJ001146+013031   2.942899   1.508673 1.1820  18.875 -1.0
  109 HSCJ001202+002554   3.006669   0.431631 0.8760  18.600 -1.0
  110 HSCJ001218+004952   3.075708   0.830973 0.9140  15.016 -1.0
