# CAMIRA HSC S20A Wide cluster catalog without star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000027+005457   0.111471   0.915945 0.6200  16.668 -1.0
    2 HSCJ000027+005953   0.112666   0.997930 1.0300  17.051 -1.0
    3 HSCJ000030+010631   0.126541   1.108580 1.1060  16.287 -1.0
    4 HSCJ000048+010930   0.197932   1.158279 0.8440  17.135 -1.0
    5 HSCJ000051+004705   0.210537   0.784772 0.2714  28.928 0.26345
    6 HSCJ000053+022548   0.221618   2.429969 0.4195  19.639 -1.0
    7 HSCJ000059+002144   0.247220   0.362203 1.0566  23.219 -1.0
    8 HSCJ000111+012558   0.294545   1.432785 0.7340  17.790 0.72239
    9 HSCJ000114+014342   0.309189   1.728411 0.7460  17.330 -1.0
   10 HSCJ000122+010149   0.339748   1.030287 0.5453  18.739 0.55205
   11 HSCJ000122-000150   0.341559  -0.030558 0.2300  20.210 0.24543
   12 HSCJ000129+002046   0.372773   0.346218 1.0420  15.832 -1.0
   13 HSCJ000131+005403   0.379079   0.900859 0.5627  32.790 -1.0
   14 HSCJ000136+021240   0.399288   2.211132 1.0368  15.075 -1.0
   15 HSCJ000136+002824   0.401962   0.473335 1.0493  15.535 -1.0
   16 HSCJ000152-004421   0.468062  -0.739190 1.0041  37.447 -1.0
   17 HSCJ000157+004221   0.487721   0.705804 0.3988  18.716 0.38866
   18 HSCJ000158+005035   0.490619   0.843073 0.7340  20.535 -1.0
   19 HSCJ000202+002049   0.507616   0.347022 0.3080  19.730 0.30069
   20 HSCJ000204+010619   0.518372   1.105187 1.1720  16.464 -1.0
   21 HSCJ000208+020935   0.532822   2.159639 0.8933  17.549 -1.0
   22 HSCJ000217+013157   0.570211   1.532473 0.8382  32.012 0.83807
   23 HSCJ000227+014500   0.613562   1.749894 0.1919  23.486 0.19028
   24 HSCJ000236+012931   0.649389   1.492006 0.7932  26.069 -1.0
   25 HSCJ000239+012233   0.660842   1.375920 1.0722  28.672 -1.0
   26 HSCJ000243-001928   0.679729  -0.324575 0.6297  16.019 -1.0
   27 HSCJ000244-003317   0.681951  -0.554835 0.5131  19.234 0.51818
   28 HSCJ000246-004751   0.690200  -0.797622 0.6978  16.846 0.66269
   29 HSCJ000248+012328   0.701175   1.391105 0.8266  20.818 0.84083
   30 HSCJ000249+020308   0.703672   2.052164 0.6340  15.180 -1.0
   31 HSCJ000255+015042   0.729049   1.844990 0.3446  18.883 0.34414
   32 HSCJ000300+005341   0.751025   0.894703 0.8963  15.817 -1.0
   33 HSCJ000300+010005   0.751266   1.001351 0.9587  17.212 -1.0
   34 HSCJ000306+004241   0.775391   0.711436 0.7114  22.542 -1.0
   35 HSCJ000311+005629   0.794790   0.941332 0.8116  15.333 -1.0
   36 HSCJ000324-004055   0.850732  -0.682056 0.9140  15.430 -1.0
   37 HSCJ000327+021319   0.862596   2.221954 0.9346  32.317 -1.0
   38 HSCJ000341+002815   0.918960   0.470862 0.1880  16.311 0.19374
