# CAMIRA HSC S20A Wide cluster catalog with star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000027+005457   0.111471   0.915945 0.6200  16.487 -1.0
    2 HSCJ000027+005953   0.112666   0.997930 1.0300  17.574 -1.0
    3 HSCJ000030+010631   0.126541   1.108580 1.1080  20.005 -1.0
    4 HSCJ000048+010930   0.197932   1.158279 0.8440  17.050 -1.0
    5 HSCJ000049+022545   0.204969   2.429036 1.1720  15.253 -1.0
    6 HSCJ000051+004705   0.210537   0.784772 0.2710  26.222 0.26345
    7 HSCJ000059+002144   0.247220   0.362203 1.0560  20.494 -1.0
    8 HSCJ000111+012558   0.294545   1.432785 0.7260  17.045 0.72239
    9 HSCJ000114+014342   0.309189   1.728411 0.7460  16.369 -1.0
   10 HSCJ000122+010149   0.339748   1.030287 0.5453  18.844 0.55205
   11 HSCJ000122-000150   0.341559  -0.030558 0.2300  23.831 0.24543
   12 HSCJ000131+005403   0.379079   0.900859 0.5620  32.235 -1.0
   13 HSCJ000152-004421   0.468062  -0.739190 1.0040  37.631 -1.0
   14 HSCJ000157+004221   0.487721   0.705804 0.3969  16.266 0.38866
   15 HSCJ000158+005035   0.490619   0.843073 0.7376  18.522 -1.0
   16 HSCJ000204+010619   0.518372   1.105187 1.1719  17.024 -1.0
   17 HSCJ000205+002141   0.519311   0.361314 0.3080  22.214 0.30134
   18 HSCJ000208+020935   0.532822   2.159639 0.8903  18.111 -1.0
   19 HSCJ000217+013157   0.570211   1.532473 0.8379  25.526 0.83807
   20 HSCJ000227+014500   0.613562   1.749894 0.1919  23.782 0.19028
   21 HSCJ000236+012931   0.649389   1.492006 0.7932  24.780 -1.0
   22 HSCJ000239+012233   0.660842   1.375920 1.0722  28.726 -1.0
   23 HSCJ000244-003317   0.681951  -0.554835 0.5131  19.399 0.51818
   24 HSCJ000248+012328   0.701175   1.391105 0.8266  21.089 0.84083
   25 HSCJ000255+015042   0.729049   1.844990 0.3447  18.426 0.34414
   26 HSCJ000300+005341   0.751025   0.894703 0.8963  16.626 -1.0
   27 HSCJ000300+010005   0.751266   1.001351 0.9587  16.979 -1.0
   28 HSCJ000306+004241   0.775391   0.711436 0.7111  22.114 -1.0
   29 HSCJ000311+005629   0.794790   0.941332 0.8116  15.446 -1.0
   30 HSCJ000324-004055   0.850732  -0.682056 0.9140  15.488 -1.0
   31 HSCJ000327+021319   0.862596   2.221954 0.9347  31.654 -1.0
   32 HSCJ000341+002815   0.918960   0.470862 0.1880  15.532 0.19374
   33 HSCJ000349+004310   0.954769   0.719312 0.6908  20.001 0.70029
   34 HSCJ000352+020359   0.967736   2.066293 0.1016  24.907 -1.0
   35 HSCJ000400-001227   1.000271  -0.207373 0.6820  19.843 -1.0
   36 HSCJ000407-010017   1.030654  -1.004648 0.9184  26.305 -1.0
   37 HSCJ000411+004508   1.046943   0.752260 0.3258  17.816 0.32957
   38 HSCJ000416+001059   1.067451   0.183053 0.6300  19.075 0.63324
   39 HSCJ000420+012301   1.084085   1.383571 0.9279  21.793 -1.0
   40 HSCJ000422-003939   1.090276  -0.660815 1.0380  21.422 -1.0
   41 HSCJ000425+004902   1.105574   0.817200 0.9540  29.074 -1.0
   42 HSCJ000426+011508   1.108164   1.252106 0.9460  28.065 -1.0
   43 HSCJ000439+020922   1.164549   2.156101 0.7620  18.139 0.74594
   44 HSCJ000443+002327   1.179688   0.390793 0.6380  17.510 0.66731
   45 HSCJ000447-005034   1.195603  -0.842910 0.3320  16.979 -1.0
   46 HSCJ000455+001009   1.229538   0.169133 0.6820  22.844 -1.0
   47 HSCJ000459+005744   1.244150   0.962098 0.1081  24.043 0.09531
   48 HSCJ000500+021143   1.249243   2.195339 0.8432  23.375 -1.0
   49 HSCJ000504+003416   1.268578   0.571110 0.3191  20.660 0.31955
   50 HSCJ000506+011006   1.274376   1.168343 1.1580  25.941 -1.0
   51 HSCJ000522+003101   1.342183   0.516897 0.5483  32.508 -1.0
   52 HSCJ000526+012837   1.356462   1.476997 0.8588  20.550 -1.0
   53 HSCJ000526+010423   1.357005   1.073158 0.8900  23.873 -1.0
   54 HSCJ000527+002407   1.363785   0.401948 1.0980  16.729 -1.0
   55 HSCJ000529+010250   1.368834   1.047164 0.7902  21.842 -1.0
   56 HSCJ000535-000518   1.394998  -0.088369 0.6380  17.221 0.61685
   57 HSCJ000544+011709   1.432114   1.285872 0.3855  22.818 0.39036
   58 HSCJ000547+022256   1.444589   2.382174 0.8489  24.250 0.83970
   59 HSCJ000551+012015   1.461796   1.337525 1.0100  15.038 -1.0
   60 HSCJ000552+020818   1.464902   2.138230 1.1040  17.949 -1.0
   61 HSCJ000607+014802   1.528826   1.800438 0.4317  18.142 0.41369
   62 HSCJ000624-000255   1.600692  -0.048527 1.0480  18.322 -1.0
   63 HSCJ000635+014219   1.647916   1.705210 0.8000  17.102 -1.0
   64 HSCJ000636+001708   1.648264   0.285458 0.6897  34.069 0.68152
   65 HSCJ000653+023043   1.719703   2.512071 0.9391  17.164 -1.0
   66 HSCJ000654-004120   1.725384  -0.688763 0.5560  54.656 0.53065
   67 HSCJ000702+001625   1.759405   0.273554 0.6880  17.336 0.66867
   68 HSCJ000709+021156   1.789411   2.198971 0.2889  21.294 0.33375
   69 HSCJ000719+004841   1.829403   0.811297 0.7869  22.287 -1.0
   70 HSCJ000721+002855   1.837726   0.481992 0.1027  19.962 0.09547
   71 HSCJ000727+005512   1.862505   0.920127 0.1068  16.436 0.10068
   72 HSCJ000735+015529   1.895376   1.924825 0.3500  17.931 0.32698
   73 HSCJ000736-000459   1.898307  -0.083135 0.7323  28.301 -1.0
   74 HSCJ000810+020112   2.043308   2.020100 0.3560  67.150 0.36502
   75 HSCJ000814+001121   2.058780   0.189162 0.5056  19.602 -1.0
   76 HSCJ000818-003921   2.074497  -0.655767 0.5612  40.515 0.55565
   77 HSCJ000826+002111   2.108982   0.352985 0.6920  17.578 0.68079
   78 HSCJ000842+020429   2.174459   2.074779 0.6219  15.370 -1.0
   79 HSCJ000849+005445   2.203877   0.912386 0.9294  18.966 -1.0
   80 HSCJ000852+005912   2.218727   0.986699 1.1843  16.624 -1.0
   81 HSCJ000854+001807   2.224605   0.302034 0.5964  22.210 -1.0
   82 HSCJ000854+011749   2.224757   1.297047 0.6160  21.484 -1.0
   83 HSCJ000914+014727   2.309518   1.790878 0.8020  25.346 -1.0
   84 HSCJ000918+020706   2.325301   2.118310 0.8252  21.334 -1.0
   85 HSCJ000941+002530   2.419327   0.425027 0.1860  19.062 0.18784
   86 HSCJ001016+003912   2.564594   0.653282 0.3629  15.127 0.36415
   87 HSCJ001035+005634   2.644386   0.942866 0.9226  18.966 -1.0
   88 HSCJ001036-000832   2.648726  -0.142225 0.8812  15.378 -1.0
   89 HSCJ001043+015128   2.681161   1.857887 0.6557  30.348 -1.0
   90 HSCJ001138+015827   2.907631   1.974231 0.6200  22.933 -1.0
   91 HSCJ001146+013031   2.942901   1.508679 1.1743  16.859 -1.0
   92 HSCJ001204+002558   3.017746   0.432714 0.9051  16.916 -1.0
   93 HSCJ001212+011540   3.049573   1.261234 0.2520  16.065 -1.0
   94 HSCJ001244+013457   3.183523   1.582545 0.5015  16.586 0.50905
   95 HSCJ001251+001725   3.212409   0.290344 0.1580  18.077 0.14759
   96 HSCJ001253+002000   3.219411   0.333415 0.3800  15.842 0.42365
   97 HSCJ001257+004131   3.236874   0.691932 0.1527  21.222 0.14757
   98 HSCJ001306+003140   3.274331   0.527904 0.4805  18.061 -1.0
   99 HSCJ001308+023219   3.285028   2.538514 0.7127  16.805 -1.0
  100 HSCJ001309+020742   3.286030   2.128274 0.3180  15.870 0.33554
  101 HSCJ001332+015625   3.382128   1.940166 0.3660  25.252 0.37911
  102 HSCJ001359+022142   3.494154   2.361744 0.8111  17.207 -1.0
  103 HSCJ001400+022711   3.501430   2.453163 0.3339  28.594 0.33669
  104 HSCJ001425+022515   3.603689   2.420732 0.8942  19.897 -1.0
  105 HSCJ001514+010614   3.808973   1.103856 1.0520  19.906 -1.0
  106 HSCJ001519+013005   3.831054   1.501481 0.3620  19.254 -1.0
  107 HSCJ001524+000913   3.848835   0.153570 0.4435  25.703 0.44400
  108 HSCJ001525+022621   3.854745   2.439125 0.7344  15.937 -1.0
  109 HSCJ001526+013252   3.856785   1.547772 0.5884  16.844 -1.0
  110 HSCJ001536-000657   3.899930  -0.115872 1.2904  16.205 -1.0
  111 HSCJ001542+014920   3.927080   1.822164 0.3043  22.155 0.29236
  112 HSCJ001624-003509   4.101254  -0.585841 1.0420  15.703 -1.0
  113 HSCJ001628-003443   4.117432  -0.578692 0.7524  22.517 -1.0
  114 HSCJ001710+012210   4.292726   1.369342 0.7640  15.487 -1.0
  115 HSCJ001733+020910   4.387875   2.152709 0.6420  15.071 -1.0
  116 HSCJ001759-001755   4.494862  -0.298741 0.7614  15.576 -1.0
  117 HSCJ001808+001311   4.534012   0.219749 0.7454  15.351 -1.0
  118 HSCJ001818-002246   4.576986  -0.379398 0.7980  32.512 -1.0
  119 HSCJ001822+020122   4.591599   2.022651 0.6160  19.475 0.62511
  120 HSCJ001832-001315   4.632758  -0.220785 0.1970  16.285 0.19236
  121 HSCJ001949+012506   4.954165   1.418335 0.3480  15.059 -1.0
  122 HSCJ001956+012109   4.984937   1.352525 0.1031  35.567 -1.0
  123 HSCJ001958+002937   4.990899   0.493688 0.4381  23.733 0.44160
  124 HSCJ002041+013547   5.171327   1.596498 1.1290  16.491 -1.0
  125 HSCJ002042+013322   5.174391   1.556007 0.2194  42.063 -1.0
  126 HSCJ002043+020227   5.179481   2.040696 0.2780  53.165 0.26781
  127 HSCJ002045+000632   5.188067   0.108888 0.2166  29.165 -1.0
  128 HSCJ002046+013534   5.190627   1.592829 0.5700  15.833 -1.0
  129 HSCJ002057+021056   5.237691   2.182233 0.8816  16.419 -1.0
  130 HSCJ002110+021412   5.290686   2.236570 1.0919  16.181 -1.0
  131 HSCJ002126-001354   5.356608  -0.231561 0.1611  26.523 -1.0
  132 HSCJ002207+002956   5.527632   0.498915 0.3300  18.568 0.33455
  133 HSCJ002229+012308   5.621182   1.385669 0.6476  23.757 0.61881
  134 HSCJ002230+012846   5.626652   1.479363 0.3425  24.649 -1.0
  135 HSCJ002302-000620   5.759530  -0.105602 0.1580  47.755 0.15833
  136 HSCJ002310+012302   5.790738   1.383840 0.9363  19.668 -1.0
  137 HSCJ002323+013645   5.844889   1.612635 0.7529  15.560 -1.0
  138 HSCJ002348+013629   5.949247   1.608151 1.0801  17.960 -1.0
  139 HSCJ002350-000606   5.958073  -0.101531 0.3805  18.739 0.36630
  140 HSCJ002549+012652   6.452157   1.447797 0.7097  18.524 -1.0
  141 HSCJ002549+014600   6.453205   1.766750 0.8819  25.332 -1.0
  142 HSCJ002550+013435   6.457985   1.576289 0.2860  15.017 -1.0
  143 HSCJ002616+012036   6.566584   1.343325 0.6280  44.137 -1.0
  144 HSCJ002646+013443   6.693016   1.578587 0.1720  17.097 -1.0
  145 HSCJ002712+015542   6.798189   1.928335 0.8460  17.681 -1.0
  146 HSCJ002756+011709   6.984915   1.285883 0.3360  25.319 -1.0
  147 HSCJ002828+022356   7.117166   2.398902 0.3622  19.531 0.37386
  148 HSCJ002849+015436   7.202159   1.909888 0.7269  30.642 0.71734
  149 HSCJ002901+015457   7.255421   1.915848 0.3623  17.424 0.37556
  150 HSCJ002909+002530   7.287549   0.424936 0.6300  16.563 0.65044
  151 HSCJ002941+010829   7.422275   1.141394 0.7201  22.071 -1.0
  152 HSCJ003011+013440   7.545932   1.577862 0.3379  27.294 -1.0
  153 HSCJ003019+011500   7.577099   1.249997 0.6300  17.705 0.62079
  154 HSCJ003052+010155   7.716436   1.031941 0.6160  43.542 0.61938
  155 HSCJ003100+011636   7.750629   1.276565 0.3660  18.468 -1.0
  156 HSCJ003129+021512   7.869845   2.253258 0.4969  18.637 -1.0
  157 HSCJ003134+013015   7.890854   1.504190 0.1020  17.815 -1.0
  158 HSCJ003134+004214   7.893529   0.704020 1.1618  17.383 -1.0
  159 HSCJ003140+020205   7.917284   2.034702 0.4380  18.603 0.43367
  160 HSCJ003141+013056   7.920484   1.515647 0.9661  15.154 -1.0
  161 HSCJ003154+014345   7.976211   1.729132 0.9098  31.740 -1.0
  162 HSCJ003311+021201   8.294096   2.200330 0.6496  15.535 -1.0
  163 HSCJ003328+001001   8.366225   0.167075 1.0700  16.272 -1.0
  164 HSCJ003357+002707   8.486906   0.451954 0.7790  17.735 -1.0
  165 HSCJ003401+021409   8.503756   2.235884 0.6715  22.772 -1.0
  166 HSCJ003423+005126   8.596845   0.857242 0.1956  54.905 0.19186
  167 HSCJ003435+011141   8.646137   1.194695 0.6120  16.555 -1.0
  168 HSCJ003442+005122   8.675575   0.855989 1.0340  16.749 -1.0
  169 HSCJ003457+002053   8.738931   0.347980 0.7315  19.211 -1.0
  170 HSCJ003511+005640   8.797396   0.944514 0.9232  17.841 -1.0
