# CAMIRA HSC S20A Wide cluster catalog with star mask, N>10
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000000+021911   0.002008   2.319796 0.4332  14.677 0.42820
    2 HSCJ000004+021943   0.015876   2.328531 0.6380  12.809 -1.0
    3 HSCJ000023+013256   0.094432   1.548948 0.4353  11.715 0.43821
    4 HSCJ000027+005457   0.111471   0.915945 0.6200  16.487 -1.0
    5 HSCJ000027+005953   0.112666   0.997930 1.0300  17.574 -1.0
    6 HSCJ000028+020011   0.114844   2.003083 1.2218  10.570 -1.0
    7 HSCJ000028+010634   0.114916   1.109438 0.7340  14.545 -1.0
    8 HSCJ000028-004634   0.118403  -0.776079 1.1551  11.725 -1.0
    9 HSCJ000030+010631   0.126541   1.108580 1.1080  20.005 -1.0
   10 HSCJ000032+002255   0.134395   0.381894 1.0640  10.563 -1.0
   11 HSCJ000038+003513   0.157473   0.586911 0.5685  11.522 0.55220
   12 HSCJ000043-003021   0.179969  -0.505721 0.6440  10.711 -1.0
   13 HSCJ000048+010930   0.197932   1.158279 0.8440  17.050 -1.0
   14 HSCJ000049+022545   0.204969   2.429036 1.1720  15.253 -1.0
   15 HSCJ000051+004705   0.210537   0.784772 0.2710  26.222 0.26345
   16 HSCJ000051+005130   0.211413   0.858360 0.9460  11.064 -1.0
   17 HSCJ000059+002144   0.247220   0.362203 1.0560  20.494 -1.0
   18 HSCJ000100+010219   0.248894   1.038620 0.6460  10.257 -1.0
   19 HSCJ000104-003611   0.266641  -0.602989 0.5751  12.953 -1.0
   20 HSCJ000106+004701   0.274984   0.783491 0.9516  10.415 -1.0
   21 HSCJ000111+012228   0.294495   1.374364 0.3463  11.948 0.35967
   22 HSCJ000111+012558   0.294545   1.432785 0.7260  17.045 0.72239
   23 HSCJ000114+014342   0.309189   1.728411 0.7460  16.369 -1.0
   24 HSCJ000122+010149   0.339748   1.030287 0.5453  18.844 0.55205
   25 HSCJ000122-000150   0.341559  -0.030558 0.2300  23.831 0.24543
   26 HSCJ000124+012548   0.348361   1.429939 0.5245  10.942 -1.0
   27 HSCJ000125+000319   0.352541   0.055215 0.6540  10.470 -1.0
   28 HSCJ000131+005403   0.379079   0.900859 0.5620  32.235 -1.0
   29 HSCJ000136+021240   0.399288   2.211132 1.0361  13.648 -1.0
   30 HSCJ000136+002824   0.401962   0.473335 1.0497  14.825 -1.0
   31 HSCJ000140+011600   0.416369   1.266673 0.6820  11.545 0.57867
   32 HSCJ000140-003351   0.417414  -0.564061 0.2400  11.401 0.24687
   33 HSCJ000143+001611   0.430209   0.269859 0.6820  14.502 0.66405
   34 HSCJ000152-004421   0.468062  -0.739190 1.0040  37.631 -1.0
   35 HSCJ000153+014000   0.472657   1.666593 0.3180  10.165 0.32565
   36 HSCJ000157+004221   0.487721   0.705804 0.3969  16.266 0.38866
   37 HSCJ000158+005035   0.490619   0.843073 0.7376  18.522 -1.0
   38 HSCJ000159+013926   0.496483   1.657169 0.5248  12.405 0.51860
   39 HSCJ000201+022441   0.503181   2.411352 1.0500  11.859 -1.0
   40 HSCJ000204+010619   0.518372   1.105187 1.1719  17.024 -1.0
   41 HSCJ000205+002141   0.519311   0.361314 0.3080  22.214 0.30134
   42 HSCJ000205-002120   0.521607  -0.355553 0.6440  10.139 0.65352
   43 HSCJ000207-001634   0.529826  -0.276199 1.1973  10.695 -1.0
   44 HSCJ000208+020935   0.532822   2.159639 0.8903  18.111 -1.0
   45 HSCJ000212+003624   0.550662   0.606547 1.0820  10.479 -1.0
   46 HSCJ000214+004628   0.558224   0.774488 0.1866  10.188 0.16213
   47 HSCJ000217+013157   0.570211   1.532473 0.8379  25.526 0.83807
   48 HSCJ000218+020320   0.574131   2.055429 1.0100  11.972 -1.0
   49 HSCJ000220+011837   0.584919   1.310248 0.4257  12.437 -1.0
   50 HSCJ000225-003253   0.603041  -0.547962 0.2996  10.182 0.28953
   51 HSCJ000226+011617   0.608292   1.271286 0.2380  10.699 0.23867
   52 HSCJ000227+014500   0.613562   1.749894 0.1919  23.782 0.19028
   53 HSCJ000230+011302   0.624884   1.217088 1.2580  13.307 -1.0
   54 HSCJ000234+003457   0.640641   0.582557 1.0506  10.251 -1.0
   55 HSCJ000234-005008   0.642308  -0.835674 0.9481  13.207 -1.0
   56 HSCJ000236+012931   0.649389   1.492006 0.7932  24.780 -1.0
   57 HSCJ000237+015721   0.655544   1.955916 0.8741  13.960 -1.0
   58 HSCJ000238+021346   0.659214   2.229434 0.9413  11.979 -1.0
   59 HSCJ000239+012233   0.660842   1.375920 1.0722  28.726 -1.0
   60 HSCJ000240-001948   0.666603  -0.330048 0.6300  14.395 0.57564
   61 HSCJ000242+004146   0.673088   0.696079 0.7340  10.683 -1.0
   62 HSCJ000244-003317   0.681951  -0.554835 0.5131  19.399 0.51818
   63 HSCJ000245-003035   0.685976  -0.509776 0.1862  13.942 0.19488
   64 HSCJ000246+022543   0.692110   2.428545 0.8513  14.462 -1.0
   65 HSCJ000246+000915   0.692694   0.154050 0.6600  12.985 -1.0
   66 HSCJ000248+012328   0.701175   1.391105 0.8266  21.089 0.84083
   67 HSCJ000249+005820   0.703287   0.972338 0.8378  11.397 -1.0
   68 HSCJ000250-003949   0.706848  -0.663576 1.0760  12.770 -1.0
   69 HSCJ000252+004031   0.717320   0.675388 0.2516  11.133 -1.0
   70 HSCJ000255+015042   0.729049   1.844990 0.3447  18.426 0.34414
   71 HSCJ000300+022703   0.748103   2.450720 0.7830  11.500 -1.0
   72 HSCJ000300+005341   0.751025   0.894703 0.8963  16.626 -1.0
   73 HSCJ000300+010005   0.751266   1.001351 0.9587  16.979 -1.0
   74 HSCJ000306+004241   0.775391   0.711436 0.7111  22.114 -1.0
   75 HSCJ000309+013638   0.787116   1.610471 0.5046  12.448 -1.0
   76 HSCJ000311+005629   0.794790   0.941332 0.8116  15.446 -1.0
   77 HSCJ000312+010616   0.801893   1.104351 0.9569  11.926 -1.0
   78 HSCJ000313+005425   0.804640   0.907033 1.1560  14.462 -1.0
   79 HSCJ000314+002642   0.808048   0.444931 0.7900  10.195 -1.0
   80 HSCJ000316-004527   0.816692  -0.757368 1.0960  13.508 -1.0
   81 HSCJ000316+013859   0.818066   1.649826 1.1281  13.843 -1.0
   82 HSCJ000324-004055   0.850732  -0.682056 0.9140  15.488 -1.0
   83 HSCJ000326+005450   0.856966   0.913754 0.1842  11.411 -1.0
   84 HSCJ000327+021319   0.862596   2.221954 0.9347  31.654 -1.0
   85 HSCJ000327+000902   0.863138   0.150444 1.0669  10.189 -1.0
   86 HSCJ000327+021015   0.863501   2.170766 0.7140  10.137 0.73013
