# CAMIRA HSC S23B Wide cluster catalog without star mask
# Oguri et al. arXiv:2512.13954
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000000+021911   0.002009   2.319793 0.4320  15.994 0.42820
    2 HSCJ000001+023125   0.005191   2.523672 0.6599  18.936 -1.0
    3 HSCJ000002+025720   0.006358   2.955424 0.4320  22.219 0.42298
    4 HSCJ000002+051718   0.009586   5.288269 0.1720  17.929 0.16936
    5 HSCJ000004+004219   0.016386   0.705167 0.2840  18.413 -1.0
    6 HSCJ000009+045006   0.036027   4.835113 0.8616  16.807 0.87018
    7 HSCJ000009+021817   0.037430   2.304648 0.6710  18.625 0.76743
    8 HSCJ000014+055055   0.058840   5.848639 0.6600  15.018 -1.0
    9 HSCJ000016+053650   0.064886   5.613987 0.9885  19.643 -1.0
   10 HSCJ000019-001001   0.081093  -0.166942 0.5440  16.057 0.53906
   11 HSCJ000026+010648   0.108410   1.113317 0.7340  15.221 -1.0
   12 HSCJ000027+005457   0.111472   0.915939 0.6364  19.729 -1.0
   13 HSCJ000027+005953   0.112668   0.997924 1.0240  16.347 -1.0
   14 HSCJ000034+040754   0.141122   4.131780 1.2626  15.154 -1.0
   15 HSCJ000041+052754   0.169974   5.465024 0.2440  23.410 -1.0
   16 HSCJ000043+022515   0.178330   2.420940 0.4213  38.760 -1.0
   17 HSCJ000045+011111   0.186817   1.186518 0.8529  15.231 -1.0
   18 HSCJ000046+030737   0.190057   3.126952 1.0510  21.493 -1.0
   19 HSCJ000048+041248   0.200819   4.213396 1.2459  17.291 -1.0
   20 HSCJ000049-005043   0.205516  -0.845246 0.4280  24.338 0.41145
   21 HSCJ000059+002144   0.247209   0.362201 1.0588  27.405 -1.0
   22 HSCJ000100+032532   0.251548   3.425692 0.5444  16.460 0.53210
   23 HSCJ000101-003328   0.254418  -0.557853 0.5720  23.601 0.57285
   24 HSCJ000103+004737   0.264393   0.793662 0.2640  28.637 -1.0
   25 HSCJ000105+024937   0.270035   2.826930 1.1839  19.479 -1.0
   26 HSCJ000109+023254   0.285706   2.548436 0.1161  16.030 0.11420
   27 HSCJ000111+012558   0.294546   1.432783 0.7200  15.095 0.72239
   28 HSCJ000114+014342   0.309194   1.728404 0.7411  17.001 -1.0
   29 HSCJ000116+051414   0.314595   5.237226 0.4549  19.346 0.45563
   30 HSCJ000116+054540   0.317090   5.760980 0.5115  25.902 0.50847
   31 HSCJ000117+054010   0.320783   5.669538 0.1803  16.554 -1.0
   32 HSCJ000119+043856   0.328514   4.648979 1.1041  18.745 -1.0
   33 HSCJ000119+042415   0.329648   4.404286 0.8820  17.003 -1.0
   34 HSCJ000120+043517   0.333984   4.588174 0.8925  15.271 -1.0
   35 HSCJ000122+010149   0.339747   1.030283 0.5498  25.908 0.55205
   36 HSCJ000122-001137   0.341362  -0.193744 0.4715  15.909 0.46405
   37 HSCJ000122-000150   0.341559  -0.030562 0.2440  43.264 0.24564
   38 HSCJ000122+051453   0.341646   5.247944 0.6892  15.276 0.68400
   39 HSCJ000127+010252   0.360873   1.047765 0.6640  16.012 -1.0
   40 HSCJ000132+005305   0.382157   0.884621 0.5317  18.714 0.55132
   41 HSCJ000136+021243   0.399097   2.212006 1.0260  15.698 -1.0
   42 HSCJ000140+011600   0.416372   1.266668 0.6746  15.336 0.57867
   43 HSCJ000140-003351   0.417416  -0.564064 0.2400  17.066 0.24687
   44 HSCJ000151+021829   0.463029   2.308053 0.7100  20.837 -1.0
   45 HSCJ000152-004421   0.468064  -0.739195 1.0200  37.494 -1.0
