# CAMIRA HSC S23B Wide cluster catalog with star mask
# Oguri et al. arXiv:2512.13954
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
    1 HSCJ000000+021911   0.002009   2.319793 0.4320  16.092 0.42820
    2 HSCJ000002+025720   0.006358   2.955424 0.4320  20.920 0.42298
    3 HSCJ000002+051718   0.009586   5.288269 0.1720  17.351 0.16936
    4 HSCJ000004+004219   0.016386   0.705167 0.2840  18.381 -1.0
    5 HSCJ000009+045006   0.036027   4.835113 0.8616  16.200 0.87018
    6 HSCJ000009+021817   0.037430   2.304648 0.6710  18.737 0.76743
    7 HSCJ000013+053718   0.054600   5.621766 0.9958  18.739 -1.0
    8 HSCJ000014+055055   0.058840   5.848639 0.6600  15.129 -1.0
    9 HSCJ000019-001001   0.081093  -0.166942 0.5400  16.741 0.53906
   10 HSCJ000023+032109   0.097171   3.352585 0.8769  15.421 0.87686
   11 HSCJ000027+005457   0.111472   0.915939 0.6364  19.630 -1.0
   12 HSCJ000027+005953   0.112668   0.997924 1.0240  17.743 -1.0
   13 HSCJ000028+010634   0.114916   1.109434 0.7300  16.491 -1.0
   14 HSCJ000034+040754   0.141122   4.131780 1.2625  15.301 -1.0
   15 HSCJ000041+052754   0.169974   5.465024 0.2440  23.550 -1.0
   16 HSCJ000045+011111   0.186817   1.186518 0.8502  15.661 -1.0
   17 HSCJ000046+030737   0.190057   3.126952 1.0509  21.502 -1.0
   18 HSCJ000046+022513   0.193744   2.420281 0.4224  37.056 -1.0
   19 HSCJ000048+041248   0.200819   4.213396 1.2453  16.547 -1.0
   20 HSCJ000049-005043   0.205516  -0.845246 0.4280  24.499 0.41145
   21 HSCJ000059+002144   0.247209   0.362201 1.0587  24.478 -1.0
   22 HSCJ000100+032532   0.251548   3.425692 0.5444  16.655 0.53210
   23 HSCJ000101+023431   0.252900   2.575189 0.1161  16.408 -1.0
   24 HSCJ000101-003328   0.254418  -0.557853 0.5720  23.605 0.57285
   25 HSCJ000103+004737   0.264393   0.793662 0.2593  26.177 -1.0
   26 HSCJ000104+024934   0.266391   2.826089 1.1360  16.916 -1.0
   27 HSCJ000114+014342   0.309194   1.728404 0.7411  17.034 -1.0
   28 HSCJ000116+051414   0.314595   5.237226 0.4548  19.274 0.45563
   29 HSCJ000116+054540   0.317090   5.760980 0.5115  25.883 0.50847
   30 HSCJ000117+054010   0.320783   5.669538 0.1803  16.662 -1.0
   31 HSCJ000119+043856   0.328514   4.648979 1.1041  18.254 -1.0
   32 HSCJ000119+042415   0.329648   4.404286 0.8820  16.761 -1.0
   33 HSCJ000120+043517   0.333984   4.588174 0.8925  15.456 -1.0
   34 HSCJ000122+010149   0.339747   1.030283 0.5498  26.182 0.55205
   35 HSCJ000122-000150   0.341559  -0.030562 0.2440  50.880 0.24564
   36 HSCJ000122+051453   0.341646   5.247944 0.6893  15.275 0.68400
   37 HSCJ000126+030720   0.360238   3.122319 1.0109  15.288 -1.0
   38 HSCJ000127+010252   0.360873   1.047765 0.6640  16.062 -1.0
   39 HSCJ000132+005305   0.382157   0.884621 0.5316  18.406 0.55132
   40 HSCJ000140+011600   0.416372   1.266668 0.6746  15.427 0.57867
   41 HSCJ000140-003351   0.417416  -0.564064 0.2400  17.107 0.24687
   42 HSCJ000151+021829   0.463029   2.308053 0.7100  20.864 -1.0
   43 HSCJ000152-004421   0.468064  -0.739195 1.0200  37.556 -1.0
   44 HSCJ000153+050554   0.469462   5.098441 0.4049  16.557 0.41012
   45 HSCJ000157+004221   0.487720   0.705800 0.4040  23.246 0.38858
   46 HSCJ000158+005035   0.490621   0.843068 0.7260  16.278 -1.0
   47 HSCJ000201+022441   0.503181   2.411349 1.0300  15.229 -1.0
   48 HSCJ000202+002049   0.507616   0.347018 0.3220  28.434 0.30069
   49 HSCJ000208+023426   0.532623   2.573946 0.9979  21.289 -1.0
   50 HSCJ000208+020935   0.532820   2.159634 0.8668  17.910 -1.0
   51 HSCJ000217+013157   0.570212   1.532468 0.8354  22.569 0.83807
   52 HSCJ000223+031719   0.595860   3.288672 0.6080  25.967 -1.0
   53 HSCJ000225-003253   0.603043  -0.547967 0.2992  24.022 0.28953
   54 HSCJ000227+014500   0.613564   1.749889 0.1866  20.356 0.19028
   55 HSCJ000230+041557   0.624978   4.265728 0.7426  18.024 -1.0
   56 HSCJ000236+012931   0.649391   1.492000 0.7891  22.774 -1.0
   57 HSCJ000239+012233   0.660845   1.375916 1.0918  24.640 -1.0
   58 HSCJ000239+015838   0.663292   1.977247 0.8601  16.534 -1.0
   59 HSCJ000240-003057   0.665015  -0.515849 0.1920  18.781 0.19411
   60 HSCJ000243+051400   0.681162   5.233350 0.4239  21.193 0.41955
   61 HSCJ000244-003317   0.681952  -0.554840 0.5215  22.622 0.51818
   62 HSCJ000248+012328   0.701179   1.391104 0.8299  23.271 0.84094
   63 HSCJ000251+055101   0.713749   5.850292 0.5546  15.290 0.54750
   64 HSCJ000255+015042   0.729049   1.844982 0.3140  23.548 0.34420
   65 HSCJ000256+055222   0.734832   5.872698 0.2280  15.057 0.24538
   66 HSCJ000300+005341   0.751024   0.894699 0.8856  16.190 -1.0
   67 HSCJ000300+010005   0.751267   1.001346 0.9600  16.511 -1.0
   68 HSCJ000302+024536   0.758232   2.760070 0.7495  18.761 -1.0
   69 HSCJ000306+004241   0.775392   0.711430 0.7100  24.371 -1.0
   70 HSCJ000309+025410   0.788516   2.902737 0.8491  15.021 -1.0
   71 HSCJ000311+023919   0.794606   2.655212 0.2348  21.965 0.23034
   72 HSCJ000314+005621   0.807956   0.939161 0.8162  17.056 -1.0
   73 HSCJ000315+042420   0.812370   4.405638 1.1308  15.146 -1.0
